Source Target Weight
顾炎武 吕葆中 7
顾炎武 吕留良 77
顾炎武 黄宗羲 36
顾炎武 吴之荣 60
顾炎武 鳌拜 13
顾炎武 吴六奇 39
顾炎武 韦小宝 165
顾炎武 汤若望 1
顾炎武 双儿 11
顾炎武 李力世 5
顾炎武 吴三桂 26
顾炎武 钱老本 8
顾炎武 陈近南 12
顾炎武 苏荃 30
顾炎武 吕毅中 7
顾炎武 舒化龙 22
吕葆中 顾炎武 7
吕葆中 吕留良 10
吕葆中 黄宗羲 1
吕葆中 苏荃 4
吕葆中 韦小宝 6
吕葆中 吴之荣 2
吕葆中 吕毅中 4
吕留良 顾炎武 77
吕留良 吕葆中 10
吕留良 黄宗羲 49
吕留良 吴之荣 15
吕留良 鳌拜 12
吕留良 庄允城 1
吕留良 程维藩 1
吕留良 吴六奇 23
吕留良 韦小宝 25
吕留良 李力世 2
吕留良 钱老本 4
吕留良 陈近南 4
吕留良 吴三桂 7
吕留良 苏荃 6
吕留良 吕毅中 7
黄宗羲 顾炎武 36
黄宗羲 吕葆中 1
黄宗羲 吕留良 49
黄宗羲 吴之荣 6
黄宗羲 鳌拜 6
黄宗羲 吴六奇 18
黄宗羲 韦小宝 1
黄宗羲 陈近南 2
吴之荣 顾炎武 60
吴之荣 吕留良 15
吴之荣 黄宗羲 6
吴之荣 庄允城 78
吴之荣 程维藩 18
吴之荣 鳌拜 40
吴之荣 韦小宝 408
吴之荣 双儿 49
吴之荣 王进宝 2
吴之荣 慕天颜 38
吴之荣 吴三桂 37
吴之荣 马佑 30
吴之荣 陈圆圆 7
吴之荣 汤若望 3
吴之荣 吴六奇 44
吴之荣 李力世 6
吴之荣 李自成 2
吴之荣 钱老本 2
吴之荣 陈近南 8
吴之荣 徐天川 7
吴之荣 张勇 3
吴之荣 守备 6
吴之荣 风际中 7
吴之荣 建宁公主 2
吴之荣 张妈 4
吴之荣 桑结 2
吴之荣 马超兴 1
吴之荣 归钟 3
吴之荣 苏荃 3
吴之荣 吕葆中 2
吴之荣 吕毅中 2
鳌拜 黄宗羲 6
鳌拜 吕留良 12
鳌拜 顾炎武 13
鳌拜 吴之荣 40
鳌拜 庄允城 2
鳌拜 程维藩 2
鳌拜 陈近南 50
鳌拜 吴大鹏 8
鳌拜 茅十八 144
鳌拜 史松 12
鳌拜 王潭 2
鳌拜 韦小宝 1554
鳌拜 吴三桂 31
鳌拜 玄烨 5
鳌拜 小桂子 157
鳌拜 杰书 23
鳌拜 索额图 184
鳌拜 海大富 22
鳌拜 明珠 6
鳌拜 蕊初 3
鳌拜 温有道 3
鳌拜 贾老六 46
鳌拜 崔瞎子 14
鳌拜 关安基 31
鳌拜 李力世 24
鳌拜 林永超 2
鳌拜 樊纲 3
鳌拜 守备 1
鳌拜 吴应熊 10
鳌拜 多隆 14
鳌拜 齐元凯 4
鳌拜 杨溢之 9
鳌拜 瑞栋 5
鳌拜 陶红英 4
鳌拜 徐天川 5
鳌拜 方怡 10
鳌拜 沐剑屏 4
鳌拜 刘一舟 22
鳌拜 吴立身 4
鳌拜 双儿 40
鳌拜 庄夫人 49
鳌拜 章老三 3
鳌拜 建宁公主 4
鳌拜 察尔珠 7
鳌拜 澄观 4
鳌拜 葛尔丹 3
鳌拜 昌齐 2
鳌拜 九难 3
鳌拜 吴六奇 4
鳌拜 南怀仁 4
鳌拜 汤若望 7
鳌拜 施琅 15
鳌拜 胖头陀 1
鳌拜 陆高轩 1
鳌拜 归钟 1
鳌拜 归二娘 1
鳌拜 温有方 6
鳌拜 林兴珠 4
鳌拜 洪朝 1
鳌拜 张勇 1
鳌拜 赵良栋 1
庄允城 吴之荣 78
庄允城 程维藩 19
庄允城 鳌拜 2
庄允城 吕留良 1
程维藩 庄允城 19
程维藩 吴之荣 18
程维藩 鳌拜 2
程维藩 吕留良 1
吴六奇 明珠 5
吴六奇 吴宝宇 2
吴六奇 陈近南 107
吴六奇 黄宗羲 18
吴六奇 顾炎武 39
吴六奇 吕留良 23
吴六奇 韦小宝 293
